name,state,pop
Alabama A & M University,AL,4206.0
University of Alabama at Birmingham,AL,11383.0
Amridge University,AL,291.0
University of Alabama in Huntsville,AL,5451.0
Alabama State University,AL,4811.0
The University of Alabama,AL,29851.0
Central Alabama Community College,AL,1592.0
Athens State University,AL,2991.0
Auburn University at Montgomery,AL,4304.0
Auburn University,AL,20514.0
Birmingham Southern College,AL,1180.0
Chattahoochee Valley Community College,AL,1727.0
Concordia College Alabama,AL,322.0
South University-Montgomery,AL,522.0
Enterprise State Community College,AL,1729.0
James H Faulkner State Community College,AL,4286.0
Faulkner University,AL,2367.0
Gadsden State Community College,AL,4917.0
New Beginning College of Cosmetology,AL,115.0
George C Wallace State Community College-Dothan,AL,4293.0
George C Wallace State Community College-Hanceville,AL,4920.0
George C Wallace State Community College-Selma,AL,1513.0
Herzing University-Birmingham,AL,302.0
Huntingdon College,AL,1149.0
Heritage Christian University,AL,62.0
J F Drake State Community and Technical College,AL,974.0
Jacksonville State University,AL,7060.0
Jefferson Davis Community College,AL,1033.0
Jefferson State Community College,AL,7443.0
John C Calhoun State Community College,AL,9380.0
Judson College,AL,376.0
Lawson State Community College-Birmingham Campus,AL,2905.0
University of West Alabama,AL,1916.0
Lurleen B Wallace Community College,AL,1393.0
Marion Military Institute,AL,433.0
Miles College,AL,1778.0
University of Mobile,AL,1460.0
University of Montevallo,AL,2644.0
Northwest-Shoals Community College,AL,3304.0
University of North Alabama,AL,5485.0
Northeast Alabama Community College,AL,2225.0
Oakwood University,AL,1878.0
Alabama Southern Community College,AL,1180.0
Prince Institute-Southeast,IL,84.0
Reid State Technical College,AL,425.0
Bishop State Community College,AL,2927.0
Samford University,AL,3033.0
Selma University,AL,472.0
Shelton State Community College,AL,4755.0
Snead State Community College,AL,2098.0
University of South Alabama,AL,11267.0
Spring Hill College,AL,1215.0
Southeastern Bible College,AL,170.0
Stillman College,AL,1056.0
Talladega College,AL,819.0
H Councill Trenholm State Community College,AL,1230.0
Troy University,AL,15025.0
Tuskegee University,AL,2588.0
United States Sports Academy,AL,90.0
Bevill State Community College,AL,3210.0
University of Alaska Anchorage,AK,12865.0
Alaska Bible College,AK,27.0
University of Alaska Fairbanks,AK,5536.0
University of Alaska Southeast,AK,1428.0
Alaska Pacific University,AK,275.0
AVTEC-Alaska's Institute of Technology,AK,889.0
Charter College-Anchorage,AK,3256.0
Alaska Career College,AK,479.0
Everest College-Phoenix,AZ,4102.0
Collins College,AZ,83.0
Empire Beauty School-Paradise Valley,AZ,25.0
Empire Beauty School-Tucson,AZ,126.0
Thunderbird School of Global Management,AZ,1.0
American Indian College Inc,AZ,89.0
American Institute of Technology,AZ,266.0
